	run	trialNum	ITIDur	gratingPosX	gratingPosY	gratingOri	gratingAng	saccadeType	saccadeDuration	saccadeInput
0	1	0	2.5	-1.446355520387612	6.848945591012114	78.0755213929823	348.0755213929823	Saccade	2	Mouse
1	1	1	3.5	-3.3902315419354494	6.124241185001289	61.032148867013746	331.03214886701375	Saccade	2	Mouse
2	1	2	2.5	-4.481749748128622	-5.377166465263005	309.8104612124225	219.81046121242252	Saccade	2	Mouse
3	1	3	3.5	3.1325530931418983	6.259960951846834	116.58388527247087	26.58388527247087	Saccade	2	Mouse
4	1	4	2.5	6.737808495803307	1.8978768858597685	164.268762094838	74.26876209483798	Saccade	2	Mouse
5	1	5	4.5	-5.851050022837097	-3.842553009427197	326.7059414091269	236.7059414091269	Saccade	2	Mouse
6	1	6	4.5	-6.9852190670217755	0.4546587574384087	3.724054119362904	273.7240541193629	Saccade	2	Mouse
7	1	7	5.5	-5.365975485600727	4.4951426104109355	39.95331589876412	309.9533158987641	Saccade	2	Mouse
8	1	8	4.5	0.18253933222851543	-6.997619551832578	268.5057258515096	178.50572585150965	Saccade	2	Mouse
9	1	9	5.5	6.735877264997758	-1.9047197880229838	195.78943569703938	105.78943569703937	Saccade	2	Mouse
10	1	10	3.5	4.500561566970672	-5.361431299746971	229.98879810510638	139.98879810510638	Saccade	2	Mouse
11	1	11	2.5	-6.608054099255423	-2.3094633621933927	340.7358775451537	250.73587754515367	Saccade	2	Mouse
12	1	12	5.5	1.2342661719787	6.89032561035464	100.1557007331456	10.155700733145592	Saccade	2	Mouse
13	1	13	5.5	-1.3262341177482235	-6.873216355165942	280.9213897882051	190.9213897882051	Saccade	2	Mouse
14	1	14	4.5	6.293970918186294	3.0636465333039293	154.04508347658145	64.04508347658145	Saccade	2	Mouse
15	1	15	3.5	5.6672515064655915	-4.108802789434349	215.94241303899943	125.94241303899943	Saccade	2	Mouse
0	2	0	3.5	-6.608054099255423	-2.3094633621933927	340.7358775451537	250.73587754515367	Saccade	2	Mouse
1	2	1	4.5	-6.9852190670217755	0.4546587574384087	3.724054119362904	273.7240541193629	Saccade	2	Mouse
2	2	2	4.5	6.737808495803307	1.8978768858597685	164.268762094838	74.26876209483798	Saccade	2	Mouse
3	2	3	5.5	-3.3902315419354494	6.124241185001289	61.032148867013746	331.03214886701375	Saccade	2	Mouse
4	2	4	4.5	-4.481749748128622	-5.377166465263005	309.8104612124225	219.81046121242252	Saccade	2	Mouse
5	2	5	3.5	0.18253933222851543	-6.997619551832578	268.5057258515096	178.50572585150965	Saccade	2	Mouse
6	2	6	5.5	-5.365975485600727	4.4951426104109355	39.95331589876412	309.9533158987641	Saccade	2	Mouse
7	2	7	3.5	-1.3262341177482235	-6.873216355165942	280.9213897882051	190.9213897882051	Saccade	2	Mouse
8	2	8	3.5	1.2342661719787	6.89032561035464	100.1557007331456	10.155700733145592	Saccade	2	Mouse
9	2	9	2.5	6.735877264997758	-1.9047197880229838	195.78943569703938	105.78943569703937	Saccade	2	Mouse
10	2	10	5.5	-1.446355520387612	6.848945591012114	78.0755213929823	348.0755213929823	Saccade	2	Mouse
11	2	11	4.5	4.500561566970672	-5.361431299746971	229.98879810510638	139.98879810510638	Saccade	2	Mouse
12	2	12	5.5	5.6672515064655915	-4.108802789434349	215.94241303899943	125.94241303899943	Saccade	2	Mouse
13	2	13	2.5	6.293970918186294	3.0636465333039293	154.04508347658145	64.04508347658145	Saccade	2	Mouse
14	2	14	2.5	-5.851050022837097	-3.842553009427197	326.7059414091269	236.7059414091269	Saccade	2	Mouse
15	2	15	2.5	3.1325530931418983	6.259960951846834	116.58388527247087	26.58388527247087	Saccade	2	Mouse
0	3	0	3.5	-6.9852190670217755	0.4546587574384087	3.724054119362904	273.7240541193629	Saccade	2	Mouse
1	3	1	5.5	-5.851050022837097	-3.842553009427197	326.7059414091269	236.7059414091269	Saccade	2	Mouse
2	3	2	3.5	-5.365975485600727	4.4951426104109355	39.95331589876412	309.9533158987641	Saccade	2	Mouse
3	3	3	5.5	0.18253933222851543	-6.997619551832578	268.5057258515096	178.50572585150965	Saccade	2	Mouse
4	3	4	2.5	3.1325530931418983	6.259960951846834	116.58388527247087	26.58388527247087	Saccade	2	Mouse
5	3	5	5.5	6.737808495803307	1.8978768858597685	164.268762094838	74.26876209483798	Saccade	2	Mouse
6	3	6	2.5	6.293970918186294	3.0636465333039293	154.04508347658145	64.04508347658145	Saccade	2	Mouse
7	3	7	4.5	-4.481749748128622	-5.377166465263005	309.8104612124225	219.81046121242252	Saccade	2	Mouse
8	3	8	4.5	4.500561566970672	-5.361431299746971	229.98879810510638	139.98879810510638	Saccade	2	Mouse
9	3	9	2.5	-1.446355520387612	6.848945591012114	78.0755213929823	348.0755213929823	Saccade	2	Mouse
10	3	10	5.5	1.2342661719787	6.89032561035464	100.1557007331456	10.155700733145592	Saccade	2	Mouse
11	3	11	4.5	-6.608054099255423	-2.3094633621933927	340.7358775451537	250.73587754515367	Saccade	2	Mouse
12	3	12	3.5	-1.3262341177482235	-6.873216355165942	280.9213897882051	190.9213897882051	Saccade	2	Mouse
13	3	13	4.5	5.6672515064655915	-4.108802789434349	215.94241303899943	125.94241303899943	Saccade	2	Mouse
14	3	14	2.5	-3.3902315419354494	6.124241185001289	61.032148867013746	331.03214886701375	Saccade	2	Mouse
15	3	15	3.5	6.735877264997758	-1.9047197880229838	195.78943569703938	105.78943569703937	Saccade	2	Mouse
